Region,Gender,Handed,Favourite_physical_activity,Importance_reducing_pollution,Birth_month,Beverage,Favorite_School_Subject,Sleep_Hours_Non_Schoolnight,Paid_Work_Hours,Work_At_Home_Hours,Planned_Education_Level
CA,Male,Right-Handed,Skateboarding/Rollerblading,1000,July,Soft drink (caffeinated),Science,9,1,1,Graduate degree
CA,Female,Right-Handed,Dancing,0,December,Tea,Other,9,0,5,Graduate degree
CA,Female,Right-Handed,Dancing,674,February,Water,Art,10,0,15,Other
CA,Male,Right-Handed,Lacrosse,626,January,Water,Science,10,0,0,Graduate degree
CA,Male,Ambidextrous,Basketball,1000,December,Water,Art,9,2,10,Graduate degree
CA,Male,Right-Handed,Tennis,749,September,Water,Mathematics and statistics,12,0,6,Undergraduate degree
CA,Female,Right-Handed,Basketball,700,September,Water,Languages,10,3,4,Graduate degree
CA,Female,Right-Handed,Running/Jogging,1000,April,Water,Physical education,12,30,10,Some college
CA,Male,Right-Handed,Swimming,1000,August,Water,Science,10,0,1,Some college
CA,Male,Right-Handed,Athletics,700,May,Water,English,9,0,2,Graduate degree
CA,Male,Left-Handed,Other,743,January,Sports drink,Music,10,0,3,Graduate degree
CA,Female,Right-Handed,Dancing,759,April,Water,English,9,6,2,Graduate degree
CA,Male,Right-Handed,Bowling,1000,May,Milk,Art,6,2,2,Graduate degree
CA,Male,Right-Handed,Martial Arts,1000,February,Water,Science,7,1,2,Graduate degree
CA,Female,Right-Handed,Swimming,1000,January,Water,Art,10,0,8,Some college
CA,Female,Right-Handed,Basketball,1000,May,Water,Music,9,0,7,Graduate degree
CA,Female,Right-Handed,Baseball/Softball,1000,September,Coffee,Social studies,7,0,10,Undergraduate degree
CA,Female,Right-Handed,Soccer,500,March,Water,English,9,0,7,Undergraduate degree
